Date,USA30Open,USA30High,USA30Low,USA30Close,USA30Adj Close,USA30Volume,DAX30Open,DAX30High,DAX30Low,DAX30Close,DAX30Adj Close,DAX30Volume,CHINA225Open,CHINA225High,CHINA225Low,CHINA225Close,CHINA225Adj Close,CHINA225Volume,CANADA40Open,CANADA40High,CANADA40Low,CANADA40Close,CANADA40Adj Close,CANADA40Volume,BEL20Open,BEL20High,BEL20Low,BEL20Close,BEL20Adj Close,BEL20Volume,EURO50Open,EURO50High,EURO50Low,EURO50Close,EURO50Adj Close,EURO50Volume
1991-05-07,2944.540039,2962.659912,2906.530029,2917.489990,2917.489990,16630000,1628.989990,1628.989990,1628.989990,1628.989990,1628.989990,0,26500.150391,26523.619141,26326.359375,26342.140625,26342.140625,0,1822.000000,1831.000000,1821.000000,1830.000000,1830.000000,0,1176.000000,1176.000000,1176.000000,1176.000000,1176.000000,0,1019.770020,1019.770020,1019.770020,1019.770020,1019.770020,0
1991-05-08,2917.040039,2945.209961,2898.699951,2930.899902,2930.899902,18320000,1608.770020,1608.770020,1608.770020,1608.770020,1608.770020,0,26312.650391,26367.990234,26178.220703,26309.789063,26309.789063,0,null,null,null,null,null,null,1174.699951,1174.699951,1174.699951,1174.699951,1174.699951,0,1013.479980,1013.479980,1013.479980,1013.479980,1013.479980,0
1991-05-09,2939.399902,2983.679932,2926.879883,2971.149902,2971.149902,21420000,null,null,null,null,null,null,26301.310547,26470.359375,26290.359375,26438.500000,26438.500000,0,null,null,null,null,null,null,null,null,null,null,null,null,1015.159973,1015.159973,1015.159973,1015.159973,1015.159973,0
1991-05-10,2980.320068,2986.139893,2906.080078,2920.169922,2920.169922,23540000,1620.390015,1620.390015,1620.390015,1620.390015,1620.390015,0,26440.480469,26449.060547,26212.640625,26274.289063,26274.289063,0,1838.900024,1852.500000,1838.599976,1850.300049,1850.300049,0,null,null,null,null,null,null,1024.150024,1024.150024,1024.150024,1024.150024,1024.150024,0
1991-05-13,2930.010010,2945.439941,2896.239990,2924.419922,2924.419922,17820000,1607.280029,1607.280029,1607.280029,1607.280029,1607.280029,0,26215.009766,26338.490234,26092.220703,26093.199219,26093.199219,0,1833.900024,1842.800049,1832.699951,1834.500000,1834.500000,0,1179.400024,1179.400024,1179.400024,1179.400024,1179.400024,0,1015.479980,1015.479980,1015.479980,1015.479980,1015.479980,0
1991-05-14,2913.229980,2922.850098,2870.080078,2886.850098,2886.850098,19250000,1598.069946,1598.069946,1598.069946,1598.069946,1598.069946,0,26083.539063,26283.460938,26030.080078,26030.080078,26030.080078,0,1831.800049,1833.099976,1799.000000,1805.599976,1805.599976,0,1181.800049,1181.800049,1181.800049,1181.800049,1181.800049,0,1012.669983,1012.669983,1012.669983,1012.669983,1012.669983,0
1991-05-15,2885.959961,2901.830078,2834.530029,2865.379883,2865.379883,21700000,1587.770020,1587.770020,1587.770020,1587.770020,1587.770020,0,26001.679688,26001.679688,25741.689453,25822.470703,25822.470703,0,1793.500000,1806.500000,1785.500000,1802.599976,1802.599976,0,1178.199951,1178.199951,1178.199951,1178.199951,1178.199951,0,1004.960022,1004.960022,1004.960022,1004.960022,1004.960022,0
1991-05-16,2882.149902,2905.639893,2863.820068,2894.010010,2894.010010,16820000,1592.319946,1592.319946,1592.319946,1592.319946,1592.319946,0,25762.300781,25771.380859,25497.480469,25520.269531,25520.269531,0,1806.500000,1829.000000,1806.199951,1826.300049,1826.300049,0,1175.500000,1175.500000,1175.500000,1175.500000,1175.500000,0,1008.489990,1008.489990,1008.489990,1008.489990,1008.489990,0
1991-05-17,2881.709961,2908.540039,2860.020020,2886.629883,2886.629883,17820000,1602.589966,1602.589966,1602.589966,1602.589966,1602.589966,0,25582.900391,25789.130859,25582.900391,25701.939453,25701.939453,0,1835.599976,1838.199951,1822.099976,1827.000000,1827.000000,0,1171.800049,1171.800049,1171.800049,1171.800049,1171.800049,0,1004.859985,1004.859985,1004.859985,1004.859985,1004.859985,0
1991-05-20,2895.699951,2910.780029,2872.760010,2892.219971,2892.219971,11660000,null,null,null,null,null,null,25731.039063,25738.730469,25330.699219,25523.029297,25523.029297,0,null,null,null,null,null,null,null,null,null,null,null,null,1006.739990,1006.739990,1006.739990,1006.739990,1006.739990,0
